ApplauseRate,ReviewNum,Level,FlavorScore,EnvironmentScore,ServiceScore,5StarReviewNum,High-qualityMerchant,PopularArea,PictureNum,ParkingNum,ParkingInfo,GroupPurchase,Promotion,AdvanceReservation,TakeOut,PerConsumption,BusinessDay
37.76,7145,4,7.8,8.6,7.3,2666,0,1,1995,193,1,0,0,0,0,145,2874
57.44,2328,4.5,8.6,8.2,8.5,1308,1,1,344,44,1,1,0,0,0,311,2873
56.05,2934,4.5,8.8,7.9,8.1,1644,1,0,723,15,1,1,1,0,0,108,437
43.75,16,3.5,8.2,7.2,7.6,7,0,0,14,1,1,1,0,0,0,57,49
54.95,293,5,9.1,9.1,8.8,161,1,1,238,0,0,1,0,0,0,56,42
66.56,305,5,9.1,9.1,9.2,203,1,0,197,0,0,1,0,0,0,228,263
58.57,6155,5,9.1,8.8,8.5,3605,1,1,2253,6,1,1,0,0,1,73,802
55.49,4026,4.5,9,8.9,8.3,2234,1,1,1786,1,1,1,0,0,1,85,730
48.1,1187,4.5,9,9,8.4,571,1,1,894,0,0,0,0,0,0,104,187
59.14,1085,5,9,9.3,9.1,608,1,0,645,21,1,0,0,0,0,250,2940
66.55,281,5,9.1,9.3,9.1,187,1,1,204,1,1,0,0,0,0,525,700
49.64,663,5,8.7,8.7,8.5,279,1,1,258,30,1,0,0,0,0,198,2539
57.86,140,5,9.2,8.7,8.9,81,1,1,128,0,0,1,0,0,1,64,196
51.95,1588,4.5,8.5,9.1,8.8,825,1,1,1272,2,1,0,0,0,1,85,171
57.31,13002,4.5,9,8.6,8.3,7452,1,1,3261,18,1,1,0,0,1,83,1079
54.67,1747,5,8.8,8.7,8.7,580,1,0,449,218,1,0,0,0,0,240,91
49.79,932,4.5,8.8,8.4,8,464,1,0,638,0,0,0,0,0,1,83,190
70.95,327,4.5,8.9,9,9,232,1,0,161,1,1,1,0,0,1,53,320
70.27,148,4.5,9,8.6,8.9,104,1,0,96,0,0,1,0,0,0,64,201
50.72,7993,4.5,8.6,8.6,8.2,4054,1,1,3918,12,1,0,0,0,0,96,891
77.12,389,5,9.2,8.4,8.8,300,1,0,291,0,0,1,0,0,0,81,332
46.56,2106,4.5,8.8,8,7.6,872,1,0,966,80,1,0,0,0,1,170,2947
42.34,222,4.5,9,6.9,8,94,0,1,136,1,1,0,0,0,0,94,2918
62.34,239,4.5,9,8.1,8.7,149,1,0,143,0,0,1,0,1,1,105,646
54.81,12027,4.5,9,8.6,8.1,6592,1,0,2600,14,1,1,0,0,1,73,1470
55.99,4163,4.5,8.9,8.5,8.2,2331,1,1,1594,0,0,1,0,0,1,81,708
74.48,819,4.5,8.8,9,8.5,610,1,1,417,0,0,1,0,0,1,92,264
49.64,2482,4.5,8.8,9.1,8.8,1232,1,1,1267,19,1,0,0,0,0,234,1626
62.19,529,5,9.1,9.2,9.1,329,1,0,255,7,1,1,1,0,1,91,197
41.21,3264,4.5,8.5,9,8.4,1345,0,1,1522,37,1,0,0,0,0,236,2285
57.9,1335,4.5,8.8,9.1,8.5,773,1,1,444,2,1,1,0,0,0,301,1861
45.67,3020,4.5,8.6,8.3,7.9,1192,1,1,1486,181,1,0,0,0,1,134,48
52.41,18501,4.5,8.8,8.6,8.2,9697,1,1,4400,21,1,1,0,0,1,71,1568
37.83,1705,4,8.2,8.3,8.3,645,0,1,1401,1,1,0,0,0,0,103,164
64.43,700,4.5,8.8,8,8.5,451,1,1,475,2,1,1,0,0,1,78,157
57.21,1199,4.5,8.7,9,9,686,1,0,501,9,1,1,0,0,0,150,1830
51.44,729,4.5,9,9,8.5,375,1,1,435,0,0,1,0,0,1,75,451
59.77,5205,4.5,8.8,9,8.2,3111,1,0,922,9,1,1,0,0,1,132,1499
45.81,1849,4.5,8.4,8.2,8.3,847,1,1,1350,1,1,1,0,1,1,59,410
53.94,584,4.5,8.8,9.1,9.1,315,1,1,335,6,1,0,0,1,0,397,1712
55.55,1171,4.5,9,8.1,8.1,646,1,1,377,25,1,0,0,0,0,167,2557
38.14,236,4.5,8.7,8.5,8.1,90,0,0,198,0,0,0,0,0,0,82,122
71.88,224,5,9,8.1,8.8,161,1,0,169,0,0,1,1,1,1,88,273
48.31,1097,4.5,8.6,9.1,8.9,530,1,1,849,5,1,0,0,0,0,241,604
62.24,4714,4.5,8.7,8.4,8.2,2934,1,0,923,15,1,0,0,0,0,72,395
87,1723,4.5,9,7.4,8.2,1499,1,1,1362,3,1,0,0,1,1,100,521
57.43,1910,4.5,8.6,9.2,8.8,1009,1,0,916,54,1,0,0,0,0,178,2891
51.41,2087,4.5,8.6,8.5,8,1073,1,0,1038,2,1,1,0,0,1,70,509
78.36,929,4.5,9,7.9,8.4,728,1,0,524,0,0,1,1,0,0,69,515
49.52,1573,4.5,9,8,8.4,778,1,1,269,7,1,0,0,0,0,67,2736
44.76,143,4.5,8.9,7.2,7.7,64,1,1,101,0,0,1,1,0,1,63,690
61.27,2014,4.5,8.9,9,8.7,1234,1,0,310,3,1,1,0,0,0,96,1117
55.66,106,4.5,9.1,7.7,8.7,59,1,0,86,0,0,1,0,0,1,43,148
47.68,1747,4.5,8.8,8.5,7.8,833,1,0,697,0,0,1,0,0,1,86,680
63.17,1545,4.5,8.2,9.1,8.7,976,1,0,759,0,0,1,1,1,0,82,354
36.91,5950,4,8.2,8.2,7.9,2196,0,0,4100,9,1,0,0,0,0,81,719
53.21,389,4.5,8.8,8.6,8.3,207,1,0,199,1,1,1,0,0,1,68,467
44.57,258,4.5,9,7.8,8.3,115,1,0,169,1,1,1,0,0,0,88,771
52.08,3130,4.5,8.7,8.5,8.1,1630,1,1,961,5,1,1,0,0,1,64,772
53.21,1684,4.5,8.7,8.6,8.3,896,1,0,773,1,1,1,0,0,1,67,701
36.54,8236,4,8.2,8,7.2,1564,0,1,1396,1539,1,0,0,0,0,113,41
46.72,1083,4.5,8.6,8.7,8.1,506,1,1,556,0,0,1,0,0,1,62,855
45.97,566,4.5,9.1,8.3,8.3,257,1,0,274,8,1,1,0,0,0,62,2946
84.55,2123,4.5,8.9,9,8.9,1795,1,0,1269,1,1,1,0,0,1,95,603
40.47,971,4,8.4,7.8,7.6,393,0,0,682,5,1,0,0,1,0,66,506
54.17,360,4.5,8.3,8.3,8.5,195,1,1,232,0,0,1,0,0,1,64,334
44.27,497,4,8.4,8.3,8.2,220,0,1,397,0,0,0,1,0,0,78,98
41.03,6097,4,7.9,8.8,7.6,2466,0,1,1820,88,1,1,0,0,0,152,2787
50.57,176,4.5,9,7.8,8.1,89,1,1,98,0,0,0,0,0,0,90,483
52.34,7038,4.5,8.6,8.8,7.9,3684,1,1,1211,12,1,1,0,0,0,118,2312
34.27,925,4,8,8.5,8.5,317,0,1,847,0,0,0,1,0,1,66,169
50.59,5064,4.5,8.6,8.4,7.9,2562,1,0,1046,9,1,1,0,0,1,68,1170
43.88,1120,4,8.4,9,7.8,491,0,1,525,8,1,0,0,0,0,144,2825
85.49,255,5,8.9,9.2,9.2,218,1,0,190,0,0,0,1,0,0,147,392
52.95,4665,4,8.6,8.7,8,2470,1,1,919,8,1,1,0,0,0,120,1355
66.67,63,4.5,8.6,8.7,8.7,42,1,1,31,0,0,1,0,0,1,21,633
45.84,4374,4,8.5,7.5,7.5,2005,1,1,1041,10,1,1,0,0,1,104,1528
57.77,2207,4.5,8.4,8.5,8.3,1275,1,1,756,1,1,1,0,0,1,90,679
49.61,1686,4,8.5,7.2,7.9,833,1,0,571,4,1,0,0,0,1,67,1852
49.6,1641,4,8.7,8.4,8.1,814,1,0,439,8,1,0,0,0,0,96,1460
52.75,7958,4.5,8.8,8.1,8.3,4198,1,1,1359,5,1,1,0,0,1,87,1839
77.55,49,4.5,8.4,8.4,8.5,38,1,0,41,1,1,1,1,0,1,86,113
57.71,2341,4.5,9,9,8,1351,1,1,240,4,1,0,0,0,0,102,1396
61.86,333,4.5,9,7.5,8.4,206,1,1,243,1,1,1,1,1,0,89,610
59.38,2260,4.5,8.3,9.1,8.6,1342,1,1,528,7,1,1,0,0,0,157,1990
38.58,674,4,8.5,7.7,7.4,260,0,1,432,1,1,0,0,0,1,167,517
41.84,1752,4,8.3,8.4,8,733,0,1,1244,1,1,0,0,0,0,86,500
58.33,96,4.5,8.7,8.9,9.1,56,1,1,66,0,0,0,0,0,0,232,1512
54.39,785,4.5,8.7,9.1,8.9,427,1,1,160,5,1,1,0,0,0,134,1617
52.49,381,4.5,8.4,8.4,8.8,200,1,0,271,0,0,0,1,0,1,45,391
75.7,934,4.5,8.6,8.4,9,707,1,1,723,0,0,1,0,0,0,105,402
51.59,9285,4,8.4,7.8,7.7,4790,1,0,1301,22,1,1,0,0,0,81,1525
50.45,4073,4.5,8.7,8.3,8.1,2055,1,1,692,0,0,1,0,0,1,61,1289
44.86,8408,4,8.1,8.7,7.7,3772,1,0,1811,14,1,1,0,0,1,83,1062
77.78,63,4.5,9,7.5,8.8,49,1,0,47,0,0,0,0,0,0,51,257
50.95,367,4.5,9,8,8.7,187,1,1,170,1,1,1,0,0,1,73,1334
39.35,1784,4,7.9,8.8,8.4,702,0,1,1130,1,1,0,0,0,0,81,686
88.61,158,5,9.2,9.2,9.2,140,1,0,126,0,0,1,0,0,0,64,363
51.08,4805,4,8.3,8.9,7.7,2453,1,0,1189,17,1,1,0,0,0,96,2518
52.76,1122,4,8.5,7.3,8,592,1,0,328,1,1,1,0,0,0,50,1398
34.93,7962,4,8.2,6.5,7,2647,0,1,1931,194,1,0,0,0,0,61,2995
34.67,8458,4,7.9,7.6,7,1924,0,1,1773,888,1,0,0,0,0,120,147
31.99,1457,4,8.5,6.8,6.9,459,0,0,820,19,1,0,0,0,0,67,2947
47.86,7999,4,8,9,8.3,3828,1,1,3733,3,1,0,0,0,0,85,797
46.51,4752,4,8.4,8.1,7.6,2142,1,0,1071,63,1,0,0,0,1,137,2560
57.36,726,4.5,8.6,9.1,8.9,417,1,1,266,5,1,1,0,0,0,201,1941
56.63,83,4,8.8,8.5,8.1,47,1,0,68,0,0,0,1,0,0,78,42
48.22,2924,4,8.1,8.5,7.8,1260,1,0,476,113,1,1,0,0,0,144,2886
47.13,1201,4,8.4,8.1,8,566,1,1,708,6,1,0,0,0,0,69,1039
77.04,135,4.5,8.5,9,8.4,104,1,0,105,0,0,1,0,1,0,75,215
